text,labels
"nemyslím si, že bych na to měl trpělivost jako ten strýc, vypadá to ale v pohodě.",2
"Jo, to je.Slyšel otec o Muriel Robin.",2
Bože můj. matka rodiny musela být nesmírně bohatá!,1
"To zní mňamózně, Michelle. ráda jezdím do Disney Worldu. jezdím tam každý rok.",1
"Máte ráda psy, slečno? jednoho chovám jako domácího mazlíčka.",1
"Připomíná vám vás, že?",1
"Ano, brácho, velmi dobrý",2
"To je dobré vědět. řekněte mi o ní víc, prosím.",1
Potřebuji vědět přesný rok vydání jeho knihy.,2
"Jo, co to děláš, zlato?",1
"Jsem paní nike; právě jsem dala dárek dvojčeti jménem isabel. co je s tebou, rasiyah?",1
"Děkuji vám, pane. jsem muž, inženýr životního prostředí, a rád fotím.",2
"pracuje v malé firmě, ale není to dobrá firma.",2
"No, já jsem o ní taky moc neslyšel, ale slyšel jsem, že je v pohodě.",1
"Dobrý den, jsem sir Wallis, jak se dnes máte, pane?",2
správně! byla autorkou mnoha knih. milovala knihu annie oakleyová z divokého západu.,1
"Dobrý den, Jsem pan deyvis. A co vy?",1
"To je úžasné! Úplně jsem přemýšlela o tom, že se naučím nový jazyk.",2
"Ahoj Joe, ano, jsem žena a mám stejně jako ona syna, který je součástí mé rodiny.",1
"Podařilo se jí to v 18 letech s pomocí svého otce, trenéra. Působivé, nemyslíte?",2
"Ano, pane, myslím, že natočil několik opravdu dobrých filmů.",2
"Rád vás poznávám, pane. Jakou práci dělá váš bratr?",2
"Zdá se, že o něm víte hodně.",2
"Myslel si, že by to bylo opravdu skvělé.",2
"Opravdu je vidět, že je připravena se učit.",1
"teto, jsem právní asistentka, ale práce, kterou dělám ráda, je aktivistická práce pro ni.",1
"jako žena, co dělá pro zábavu?",2
"Dobře, jako generální ředitel a šéfdirigent Metropolitní opery v New Yorku by to neměl dělat.",2
"Právě jsem dokončila pomoc manželovi. Ahoj Taiyone, jak se má?",2
Paní F. C. Patricková je dáma a já ji miloval.,1
"Ahoj, Lairde, jak to jde?",2
"Ano, byla součástí představení. já jsem byl klaun.",1
"To je skvělé, moje přítelkyně to také miluje.",1
"Jaký je její oblíbený sport? Lidé jsou překvapeni, když jim řeknu, že mým oblíbeným sportem je fotbal.",1
Moje báječné já není špatné. Co dělá?,1
"Na muže toho moc nenamluvím, ale rád s ní hraju basketbal",1
"Děkuji Roberte, ráda si čtu a chodím s ním do posilovny.",2
"Ten muž mi právě dal hádanku, ale myslím, že vyřešit tento svět bude trvat dlouho.",2
"hai, jak se dnes má, pane",1
"neuvádí se, jakou třídu učil, ale možná to byli čtvrťáci.",2
"Ano, já sama jsem matka v domácnosti a můj manžel je také řidič kamionu.",2
"Slyšel jsem, že ta dívka je roztomilá tenistka z Belgie.",1
Kromě fotbalu ho podobné věci moc nebaví.,2
"Páni, Twilight sága? Film se mi líbí, a co ona?",1
"Jsem speciální pedagožka, mám dva krásné syny a úžasného manžela, který je velitelem hasičů.",2
dělala různé druhy salátů a ráda by je ochutnala.,1
"daří se mi tak dobře, jak jen chlapec může. slyšeli jste o muži jménem Sylvester denton?",2
"Klasika, děláš balet nebo sportuješ jako ona?",1
"Ahoj, jmenuje se Evelynn. Je to samec. Mohu vás poznat, prosím?",2
"po odchodu do důchodu budu ráda učit hudbu, pokud s námi nebude mít plány.",1
jako generální ředitelka a šéfdirigentka Metropolitní opery v New Yorku je talentovaná.,1
"No, ona také ráda čte, pomáhá jí to rozšiřovat si znalosti.",1
"Můj cíl a cíle jsou široké, člověče, chci s ní dosáhnout hodně.",1
"pěkné a je dobré to o ní vědět, melisso.",1
Brzy bude její restaurace otevřena.,1
"Byl známý tím, že dělal něco pozoruhodného?",2
"Dobrý den, pane, jak se jí daří?",1
nikdy jsem o ní neslyšel. odkud je?,1
"ano! pandemie nás zasáhla, protože můj manžel je nemocný.",2
"To je úžasné! Moje žena úplně přemýšlela o tom, že se naučí nový jazyk.",1
"Jsem si jistý, že pěší turistika by byla pro mou ženu skvělým cvičením. Miluji, když jí vítr čechrá vlasy.",1
"Sbírá hračky, panenky a šminky. Co děláš ty?",1
Nikdy jsem o něm neslyšel. Kdo je to?,2
"woah, ona je tedy knihomol.",1
byla poražena rene canuelem z bloku quebecois,1
"Vím, že hraje klubový hokej za belfastské Harlequins, chlapská síla!",2
"je struktura školy doposud neporušená, pane? jsem na to zvědavý.",2
"tenhle chlapík je Španěl. má spoustu talentů. hraje, zpívá, režíruje a produkuje.",2
"Hahaha!! Skoro, ale máma mi o tom filmu řekla, chtěli jsme se na něj podívat minulý týden, když jsme si vyrazili s holkama, ale k tomu nedošlo.",1
"Je opravdu pěkná. Mám se dobře, jak se máš ty?",1
"To je dobré vědět! Když mi zemřel manžel, musela jsem si vzít rok volno.",2
"Ráda sportuje, ale nesnáší pobyt venku",1
Kdo je váš oblíbený mužský kouzelník?,2
"Vážně, kámo, je tvoje basa zelená? Dal bych přednost růžové nebo pastelové.",2
"ano, kámo, z 8. odlišného oddílu",2
"Muž mi právě dal hádanku, ale myslím, že vyřešit tento svět bude trvat dlouho.",2
v roce 2009 hrála v dortmundském divadle také titulní roli ve hře evita.,1
taky jsem v tom věku. konečně si můžu nechat narůst vousy. co by jí pomohlo cítit se lépe?,1
byl to vynikající film o ženě. co děláte ve volném čase?,1
"Nevíte, kde bydlí, nevím to přesně, jen vím, že je to město v jižním Walesu.",1
oh no peter.... právě jsem se vrátil z běhu s ní,1
"Ne, pane, kdo je to? Je slavný?",2
"ano, pane. její obrazy se skládají z vrstvených fiktivních prostředí, která odkazují na abstraktní malbu.",1
"Jaké krásné jméno, slečno. Čím se živí dívka jako vy, Antrio?",1
"Je to filmová producentka, pěkně ujetá, že ano, Jennifer?",1
"Ano, a nyní má i vlastní album. Soundtrack k filmu.",2
"Woah, znáš jeho paní? Je členkou právnické společnosti Horní Kanady.",1
"Dobrý den, jmenuje se Mario. Jak se jmenuješ ty?",2
"Pracuji v něm, žiji s manželem ve Vídni.",2
"oooh, ok, co je to za téma, kámo, přemýšlíš o své přítelkyni?",1
"Kámo, znáš Wilmu Rudolph, ano, četl jsem o ní, je to sportovkyně.",2
"Přítelkyně, hádám, že jsi ho musela vidět.",2
"Ahoj, drahá! Jmenuji se Jaime. Jak se jmenuje?",2
"Já vím, že? Ta paní určitě taky dostala hodně zaplaceno.",1
"pojďme na černou, protože tě nemám ráda, Kate.",1
"Jsem Jimin, vaše dcera, pane, ráda vás poznávám, pane.",1
dobře jeho cool a tak pěkné,2
nic moc. a co ty?,2
daří se mi dobře. zavolal mi a já jsem odpověděl na jméno cristan,2
Mohla by se mnou strávit ještě pár dní.,2
"Ahoj chlape, jak se vám a Deborah daří",2
"Ale miláčku, já nejsem tak vášnivý ve věcech kromě fotbalu\",1
kolik máte s manželkou dětí? oblíbená cestovní destinace ma?,2
"Řekl jsem, že rád zápasím se svou ženou pro zábavu. co děláš v práci?",1
"Ta paní říkala, že ráda čte knihy a další věci, hodně jsem si z toho vzal, slyšeli jste o ibrahimovi Tanko Muhammadovi?",1
"ano, slyšela jsem o ní, je to dobrá žena.",1
to je pravda. Todd také pomohl britským ženám k titulu na Eschborn Cupu!,2
Taky se mi s ním hezky povídalo. Jako správný chlap mám domácího hada.,2
"Má opravdu dobré místo, jsem muž a vlastním impalu.",2
"Dobrý den, slečno, jak se máte? Právě teď je v práci.",2
Neberu školu tak vážně jako ona. Ale ona se zajímá o jiné věci.,1
"Dobře. zeptám se své ženy, ale co si o ní myslíte vy?",1
"To je super, žiju v Nashvillu. kde bydlíš, Rose?",1
Jsem prostě bohatý člověk. proto sbírám auta,2
"povězte mi o svém koníčku, paní. mým koníčkem je zahradničení.",2
"Ano, něco málo o ní vím, potkali jsme se minulý týden v pátek v klubu a já ji pozval na drink.",2
"ano, to je určitě správně, neměli bychom jim dávat všechno najednou, aby to nezneužili.",2
"Jsem v pořádku, jmenuji se Mike a rád vás poznávám, madam. doufám, že se lépe poznáme.",2
"Ahoj, Marku, to je Marcus, ahoj, Marcus.",2
"No, on taky rád čte. Pomáhá mu to rozšiřovat znalosti",2
"Rád se dívám na Philadelphia eagles , mají dobré hráče.",1
"Já vím, že ano. Co si o něm myslíš?",2
drží se dál od romantiky kvůli mnoha neúspěšným zkušenostem s bývalými manželkami.,2
"Samozřejmě, je to právník",2
"holka z malého města jako já, nic, jen se starám o děti. čím se živíš?",1
"Ne tak docela, ale věřím, že je skutečná jako dlouhý den.",1
"Slyšel jsem, že ta žena byla sprinterka. závodila v mnoha disciplínách.",1
"Dobře, už to chápu. čím se živí?",1
"Děkuji, Roberte, rád čte a chodí do posilovny.",2
Je dobrý a silný. Co děláš ty?,2
"Dobře, víte o panu Michaelu Sinclairovi?",2
"Jane, jeho oblíbená barva je černá. Jaká je ta tvoje?",2
"jen rýži, ráda jí rýži a po ní si dá víno.",2
"také napsal o knize, musel být chytrý.",2
"Ahoj Josephe, jak se ti daří",2
"moc nečtu, pane. dávám přednost filmům. miluju filmy o superhrdinech. milujete Jaye?",2
"Ahoj, jak se mu dnes daří, mami?",2
Muž si pochutnává na zmrzlině.,2
"Dobrý den, jak se daří Samanthě?",1
"Jak jsem řekl svému holiči, Stacy je moje nejoblíbenější, a pak je tu Vanessa Warrenová.",1
On? Takže ten kluk támhle není holka?,2
"Ano, podle něj by to měly dělat všechny ženy.",2
"Dobrý den, kolegyně.. Já jsem v pořádku, a on?",2
"Ahoj, jak se máš dnes večer? Je tvoje sestra doma?",1
"Ne, to jsem nevěděl. Věděl jsem jen, že hrála ve Skotsku a vyhrála pohár.",1
"ten muž je sexy, rád si s vámi oběma vyrazí, je to můj přítel, no páni! co ještě víte?",2
"Ano, pro lidovou stranu a ženy, jako jsem já.",1
"no, neměla by mít všechny dorty, pokud nechce mít nadváhu.",1
"ano, některé ženy v této době mají chuť na vysokou fantazii, kterou jim píše muž.",1
"jak se jmenuje střední škola, na které studuje?",2
"Jmenuješ se Debbie? to je hezké jméno, já jsem Ajai, tak jaký byl tvůj den?",1
"woods, nevěděl jsem, že se narodil ve Shkode. Dříve jsem si myslel, že se ten mladík narodil v tiraně.",2
"Hanna říkala, že tě jen pozdravila a zkontrolovala.",1
"daří se jí skvěle, děkuji Rose.",1
"Dobrý pane, víte něco o Mary Steinové?",2
bude také velmi špatné ho vidět,2
"Ano, byl, ale jeho žena je také dobrá politička.",1
"Jim je velmi tvrdohlavý muž , myslím, že jeho žena toto chování akceptuje.",1
"Ano, myslím, že natočila několik opravdu dobrých filmů.",1
"Jmenuji se Priscilla, mladý muži. Slyšel jsi o Reduanu Petarovi? Líbí se mi, co dělá.",2
"tancování je pro ni také dobré, ale já mám raději modrou barvu na Edwardovi.",1
"co si myslíš, že je špatně na současné ženské škole?",2
"ach ano, většina z nich je chycena, ale někteří jsou stále před domem, který jsem postavil, ale pane,jste srbský karleah ?",2
nikdy jsem o ní neslyšel. odkud je?,1
Také mi teď chybí a rád se dívám na sportovní vstupy.,2
"wow, je to velmi pracovitá žena , hraje fotbal a také dělá servírku.",1
"Susan chce přerušit těhotenství, proto navštívila lékárníka.",1
"Ahoj, já jsem John. rád tě poznávám, příteli.",2
Možná zkusím Toma. znáš ho? nemáme stejné pohlaví.,2
"Jmenuji se Zachery, ale Ben mi říká Z. Jak se jmenujete vy, slečno?",2
"Rád se dívám na sport, zejména na běžecké závody. slyšeli jste o běžci Boltovi?",2
"Jo, chlape, rád se dívám na televizi. Jaké jsou její koníčky?",1
"Jistě, ale já mám rád detaily, Ellen, víš, jaký jsem člověk.",1
Ráda trávím volný čas se svým přítelem.,2
"Jsem muž a jmenuji se Christoph. Vidím, že nejste muž.",1
Zajímavé. Čím byl ten muž tak zajímavý?,2
"Jo, nemyslím si, že to stojí za oslavu, brácho.",2
"křížovky hry jsou dobré , ale hrát fotbal hry je lepší",2
Mám asi čtyři děti a miluji je i svou ženu.,2
"Dobře , líbilo se vám to pane, jste spokojen ?",1
To je tak zajímavé. Ten člověk miluje metalovou hudbu.,2
"Jak se mu dnes daří, pane Jahsime?",1
"Je to tak, že? Se svým přítelem jezdí na spoustu pláží. A ty?",1
"to je vše o Felicii, co potřebujete vědět, další věci, které vedou ženu k úspěchu, je publikum.",1
To rád slyším. Nevlastní matka mě ignorovala a mou matku nikdy nepoznala.,1
"to je zajímavé, Duke také miluje metalovou hudbu.",2
Slečno...můžete mi zazpívat písničku?,1
"Pane, vyrovnává se s pandemií koronaviru.",2
je to žena jako ty a prožila si zábavný den.,1
"Nevlastní matka mě ignorovala a matku jsem nikdy nepoznala, což pravděpodobně vysvětluje mé štěstí na muže.",1
"hahaha!! ne tak docela, ale můj táta mi o tom filmu řekl.Chtěli jsme se na něj podívat minulý týden, abychom si udělali pánskou jízdu, ale k tomu nedošlo. právě jsem dokončil práci.",2
"Ahoj Melisso, jmenuji se pan Naviel, jak se dnes máš?",2
"Ano, mám, pan Ken je můj učitel a já obdivuji jeho práci a mám rád jeho příspěvky.",2
"Řekl jsem, že rád zápasím se svým synem pro zábavu. co děláte v práci?",2
"dědeček, muž, který napsal v knize, chromozomy genomu?",2
"Ahoj Josefe, jak se ti daří?. Nevíš, kdy se Jake vrátí?",2
"můžete to zopakovat. Řekni mi, jaké jsou její koníčky? Lakuje si ráda nehty?",1
jakou práci paní dělá? jsem pokrývač koupit profesi,1
znáte manžela Franka Surmana?,1
"ano, brácho, bylo mu šest let, když se to naučil.",2
"Jmenuji se Alex a jsem včelař! a co vy, madam?",2
"Miluju kapustu, a co vy, pane Dennisi?",2
"Viděla jsem tento film s mým přítelem, Je stejně mužský jako vy.",2
"Myslím, že způsob, jakým jsme začali, byl pro nás jako pro muže dobrý.",2
byl akademikem,2
Advokáti jako paní Haleová jsou duchovní i v rámci národních odborů.,1
"Madam, když můžu, snažím se ženám na ulici něco vrátit.",1
"Pěkné! Věděli jste, že se Dene Miller narodil ve Welwynu? Narodil se tam, kde jsem vyrůstala jako mladá dívka.",2
"Rád jezdím na kajaku , a ženy si myslí, že to není hra, ale je to tak.",1
"Ano, Jenny má jako muž velmi ráda hudbu.",1
"Susan, to je neuvěřitelné! je lékárník, možná bych mohl pomoci.",2
"Jsem heterosexuál, ale miluju muže jako Adam Levine",2
To je dobré vědět. řekni mi o Molly víc.,1
"Jim má spoustu koníčků, co děláš pro zábavu ty, kámo?",2
"Možná se budu dívat na Teen Wolf na MTV. Slyšela jsem, že Michelle Clunie je v něm taky blbá. Byla opravdu dobrá?",1
"To je úžasné, holka! škoda, že je ten chlap teď suspendovaný.",2
"Edward vypadá dobře na modré a myslím, že tanec je skvělý",2
"Ahoj brácho, jmenuju se Bruce. a ty?",2
"Jmenuji se Lavaughn a jsem muž najatý na jeho ochranu, rád vás poznávám.",2
"ok, to je hezké, mladý muži. znáte mužského autora zhou yanga?",2
"proč? málo studuješ, paní? trávíš příliš mnoho času přemýšlením o klucích?",1
"Na rozdíl od mých kamarádek miluji fotbal, a co vy?",1
"Ano, to je. její otec slyšel o Muriel Robin.",1
"Dobrý den, paní, jak se máte",1
"Paní, řekněte mi, co víte o svém muži, myslím, že bychom měli použít datum.",1
"Mám dvě děti a dvě kočky, madam. Moje sestra-dvojče je naopak bezdětná. Pletete si mě s ní",1
Slyšeli jste někdy o ženě jménem Dorothy May?,1
"Mami, víš ještě něco o její mámě?",1
"Miluju ji. a co vy, pane?",1
"Taky se mi to nelíbí, ale jsem heterosexuál a jsem zamilovaný do Adama Levina, je tak krásná.",1
"Ano, vím o zohre esmaeli, protože je to můj bratr.",2
"povězte něco o dougu aandersonovi, Kathy",1
"Vůbec ne, pane. je velmi slavná a populární.",1
"Včera jsem o tom něco málo slyšel, ale nejsem s tím tak obeznámen.",2
"Myslím, že jsem v pořádku. Teda myslím, že jsem. Jak se máš ty? Já jsem Sally.",1
"Pěkné, věděli jste, že se Dene Miller narodil ve Welwynu? Jako malá jsem tam vyrůstala.",1
"Ano, pro ni je to velmi podobné hudbě, pane.",1
"Ano, všichni to děláme, je tak dobrý, že se stal vzorem i pro ostatní.",2
"super, jakou hudbu má tvoje sestra ráda?",1
Jakou hudbu dělá,1
"To je dobré, co děláte po softbalovém tréninku?",1
"Jo, chlape, jako můj bože, bylo to tak zajímavé.",2
"Zabývám se stavebnictvím. jaké jsou vaše koníčky, pane?",2
"být dívka mma bojovník, který je opravdu působivé",1
četli jste o jessice draskau-peterson ben,2
"Zajímalo by mě, jestli ještě hraje na flétnu jako já?",2
Byl to australský politik.,2
"nic moc Nelly, a co ty, Kelly?",1
"Sarah , jako chlap mám rád sporty jako baseball a fotbal. i když mě víc baví baseball.",2
"Ne, ale miluji baseball a jsem hráčkou ženského týmu.",1
"Dobrý den, jmenuji se John, a co vy, pane?",2
"jak vypadá den podle tebe, Petře?",2
Správně! Laura havighurstová byla autorkou mnoha knih. oblíbila si knihu annie oakleyová z divokého západu.,1
"Rád vás poznávám, pane. Jmenuje se Zihan.",1
"Ahoj! Jak se dneska má, brácho?",1
"Děkuji, Roberte, ráda čte a chodí do posilovny.",1
"ano, Karen je žena mých mužských snů!",1
"ahoj Mabel, jak se ti daří",1
"Hej, krásko, předpokládám, že mluvíš o Lině, nebo se nemýlím?",1
"O víkendech jezdím se svou snoubenkou na kole, protože má ráda pocit větru na tváři.",1
"jeho práce byla dobrá,jako génius oceňuji Johnovo dobré psaní",2
"Jo, teď mi opravdu chybí. vždycky se snažím chytit Sportcenter.",2
Pan Josh se objevil ve dvouhvězdičkovém rozpoložení.,2
"Dobře, mami, říká ti něco jméno paní Tomary Stanhopeové?",1
"Pracuje jako účetní ve Washingtonu. A co vy, madam?",1
"Opravdu? Prosím, pane, řekněte mi o ní víc.",1
"Kámo, můžeš mi zazpívat písničku?",2
Ráda hraje zombie hru.,1
"Ráda chodí na túry, rybaří a obecně se udržuje v kondici.",1
"ooh, toužila jsem slyšet o tom chlapci, mohl bys mi to prosím říct?",2
"Ano, poslouchám Carla. a co ty?",2
Tento muž je republikán.,2
"Jeff toho na muže moc nenamluví, ale rád hraje basketbal.",2
"""Máš ráda gotické romány?"" zeptala jsem se své sestry Megan.",1
"ano, pane, myslím, že producentka natočila několik opravdu dobrých filmů.",1
"ano, jedno z mých dětí chce být kosmonautem. je velmi zajímavá.Ráda si s ní myju vlasy.",1
je dobrovolnicí a dělá jí to dobře.,1
"Jaké jsou vaše koníčky, madam? ráda si lakuji nehty.",1
"hodně cestoval po celém území, získal jako takový velký zisk v podnikání.",2
jak dobře tu dámu znáte?,1
Mohl byste mi popsat tu paní? je to úžasná žena,2
"Podle mého přítele je to velmi správné, můžete mi o něm říct více?",1
Byla místopředsedkyní finanční fakulty.,1
"Jakub řekl: ""Jsem muž a dělám stavbu.""",2
"to je skvělé, ten inženýr musí být mocný člověk.",2
"Myslím, že ji znám, a co vy, já jsem pod jménem maurus.",1
"Jo, manžel mi teď opravdu chybí.Vždycky se snažím chytit Sportcenter.",2
"Ano, pane! tak mi o sobě řekněte víc, Carly.",2
"Stejně jako já, má rád růžová auta?",2
 Nikdy jsem o něm neslyšel. odkud je?,2
"Dobrý den, pane, jak se máte, prosím, kdo je to?",1
"Jsem úžasný člověk. A co ty, brácho?",2
"Ne, šaty jsem ještě nedostala. Kdo byl ten muž?",2
To je dobré vědět. znáte Patricka?,2
"To je škoda, myslíte, že byl někdy účinným politikem?",2
to samé jemu! bylo mi hezky!,2
"Já také, madam! bylo to velké překvapení!",1
"To je super, bydlím v Nashvillu. kde bydlíš, Jeremy?",2
"Super! všechny holky, které znám, obvykle milují taco úterky, ale jako holka nemám ráda tacos!",1
"Samozřejmě, že letiště corona muni přišla s tolika dalšími věcmi.Je tak zvídavá.",1
"Jerry, ten film bych rád viděl.",2
"""Páni, to je úžasné! není bydlení ve velkém domě úžasné?"" řekl Cruz.",2
"požádal mě, abych se neptal na další témata! řekl, že bych měl prosím nechat to hned!",2
Zdravím vás. jsem haydyn. Kdo je ten chlap támhle?,2
"Dobrý den, pane! já jsem Donnelle. jak se jmenujete, pane?",2
Sám jsem v tom věku. konečně si můžu nechat narůst vousy. Jak to jde s tvými vousy?,2
"Ano, madam, má 2 nominace na ceny Grammy.",1
"To je velmi zajímavé, drahý bratr jednovaječné dvojče, prosím, můžete mi říct, co víte o mihail kogalniceanu, constanta.",2
Ano. byla aktivní v pasadenském divadle. Co o ní ještě víte?,1
"Ahoj chyane, jak se daří tvému manželovi ?",2
"to je skvělé, ráda hraju na klarinet, naučil mě to táta.",2
Jsem paní Jessica a daří se mi docela dobře. jak se máte vy?,1
"ano! pandemie dorazila do USA, protože můj manžel Jane je nemocný.",1
"kate: ano, většina z nich je chycena, ale někteří jsou stále před domem, který jsem postavila. jsi Srbka karleah?",1
Co si myslíte o jeho muži?,2
Daří se mi dobře. jako druhému člověku. Co dělá pro zábavu?,2
"Dnes jsem v pohodě, brácho. A co ty, Jime?",2
Jmenuje se Lenoris a právě dokončila manikúru. Jak se jmenuješ ty?,1
